Unnamed: 0,question,answer,questions_german,answers_german
1845,"no, this is the tree.",did someone steal it?,"Nein, das ist der Baum.",hat jemand es gestohlen?
1846,did someone steal it?,i sure hope not.,hat jemand es gestohlen?,Ich hoffe sicher nicht.
1847,i sure hope not.,maybe they towed it away.,Ich hoffe sicher nicht.,Vielleicht haben sie es weggeworfen.
1848,look at this traffic.,i'd rather not.,schauen Sie sich diesen Verkehr an.,Leider hat man es nicht geschafft.
1849,i'd rather not.,it gets worse every year.,Leider hat man es nicht geschafft.,es verschlimmert sich jedes Jahr.
1850,it gets worse every year.,why are you complaining? we're going almost 20 miles an hour.,es verschlimmert sich jedes Jahr.,Warum klagen Sie sich?
1851,why are you complaining? we're going almost 20 miles an hour.,the speed limit is 65!,Warum klagen Sie sich?,die Geschwindigkeitsgrenze beträgt 65!
1852,the speed limit is 65!,"well, that's between 2:00 and 4:00 a.m.",die Geschwindigkeitsgrenze beträgt 65!,es ist zwischen 2:00 und 4:00 Uhr.
1853,"well, that's between 2:00 and 4:00 a.m.",where are all these people going?,es ist zwischen 2:00 und 4:00 Uhr.,Wohin gehen alle diese Menschen?
1854,where are all these people going?,they're all asking the same question.,Wohin gehen alle diese Menschen?,Sie alle stellen die gleiche Frage.
1855,they're all asking the same question.,when are they going to fix this problem?,Sie alle stellen die gleiche Frage.,wann werden sie dieses Problem beheben?
1856,when are they going to fix this problem?,they said they need more money.,wann werden sie dieses Problem beheben?,"Sie sagten, sie benötigen mehr Geld."
1857,they said they need more money.,they always need more money.,"Sie sagten, sie benötigen mehr Geld.",sie brauchen immer mehr Geld.
1858,they always need more money.,it'll get worse before it gets better.,sie brauchen immer mehr Geld.,"es wird sich verschlimmern, bevor es besser wird."
1859,did you see that car?,"yes, he went through the red light.",hatt ihr dieses Auto gesehen?,"ja, er hat das rote Licht durchgelaufen."
1860,"yes, he went through the red light.",can we call the police?,"ja, er hat das rote Licht durchgelaufen.",Können wir die Polizei anrufen?
1861,can we call the police?,"no, the police don't care.",Können wir die Polizei anrufen?,"Nein, die Polizei kümmert sich nicht."
1862,"no, the police don't care.",why not?,"Nein, die Polizei kümmert sich nicht.",Warum nicht?
1863,why not?,they have to see it happen.,Warum nicht?,"sie müssen sehen, dass es geschehen wird."
1864,they have to see it happen.,they don't believe us?,"sie müssen sehen, dass es geschehen wird.",sie glauben uns nicht?
1865,they don't believe us?,no. they can only give a ticket if they see it happen.,sie glauben uns nicht?,"Nein, sie können nur ein Ticket geben, wenn sie sehen, dass es"
1866,no. they can only give a ticket if they see it happen.,"so, what do we do?","Nein, sie können nur ein Ticket geben, wenn sie sehen, dass es","Also, was tun wir?"
1867,"so, what do we do?",we don't do anything.,"Also, was tun wir?",Wir tun nichts.
1868,we don't do anything.,maybe we should honk the horn next time.,Wir tun nichts.,Vielleicht sollten wir das nächste Mal das Horn hüllen.
1869,maybe we should honk the horn next time.,the driver will just honk back at us.,Vielleicht sollten wir das nächste Mal das Horn hüllen.,der Fahrer wird uns nur wieder hünken.
1870,my car is dirty.,why don't you wash it?,ich habe ein Auto schmutzig.,Warum waschen Sie es nicht?
1871,why don't you wash it?,that's what i'm going to do.,Warum waschen Sie es nicht?,"Das ist es, was ich tun werde."
1872,that's what i'm going to do.,are you going to wash it yourself?,"Das ist es, was ich tun werde.",Werden Sie es selbst waschen?
1873,are you going to wash it yourself?,of course. it's not a hard job.,Werden Sie es selbst waschen?,Natürlich ist es nicht eine harte Aufgabe.
1874,of course. it's not a hard job.,i'll help you.,Natürlich ist es nicht eine harte Aufgabe.,ich werde Ihnen helfen.
1875,i'll help you.,"okay, i'll get a bucket.",ich werde Ihnen helfen.,"ich hoffe, ich werde einen Eimer bekommen."
1876,"okay, i'll get a bucket.",i'll rinse the car first.,"ich hoffe, ich werde einen Eimer bekommen.",ich sage das Auto zunächst.
1877,i'll rinse the car first.,then we can scrub it with a wet sponge and soap.,ich sage das Auto zunächst.,dann können wir es mit einem Nassschamm und Seife s
1878,then we can scrub it with a wet sponge and soap.,"after that, we can dry it with a towel.",dann können wir es mit einem Nassschamm und Seife s,danach können wir es mit einem Handtuch trockenen.
1879,"after that, we can dry it with a towel.",then it will look like new,danach können wir es mit einem Handtuch trockenen.,dann sieht es wie neu aus.
1880,then it will look like new,and you save $10.,dann sieht es wie neu aus.,und Sie sparen 10 $.
1881,it sure is windy today.,paper is flying everywhere.,es ist heute sicher windig.,Papier fliegt überall.
1882,paper is flying everywhere.,this wind is dangerous for drivers.,Papier fliegt überall.,dieser Wind ist gefährlich für die Fahrer.
1883,this wind is dangerous for drivers.,especially for drivers of big trucks.,dieser Wind ist gefährlich für die Fahrer.,besonders für die Fahrer von großen LKWs.
1884,especially for drivers of big trucks.,the wind blows those trucks over.,besonders für die Fahrer von großen LKWs.,der Wind bläst diese LKW über.
1885,the wind blows those trucks over.,"it blows trees over, too.",der Wind bläst diese LKW über.,es bläst auch Bäume über.
1886,"it blows trees over, too.",a tree fell onto my dad's car.,es bläst auch Bäume über.,hat ein Baum auf mein Vater's Auto gefallen.
1887,a tree fell onto my dad's car.,was there much damage?,hat ein Baum auf mein Vater's Auto gefallen.,hat es viel Schaden gegeben?
1888,was there much damage?,my dad had to buy a new car.,hat es viel Schaden gegeben?,ich hatte ein neues Auto gekauft.
1889,my dad had to buy a new car.,wow! that's terrible.,ich hatte ein neues Auto gekauft.,Sehr schrecklich!
1890,wow! that's terrible.,never park your car under a tree.,Sehr schrecklich!,Parken Sie Ihr Auto nie unter einem Baum.
1891,never park your car under a tree.,"the wind will get you, or the birds will get you.",Parken Sie Ihr Auto nie unter einem Baum.,"Der Wind wird Sie bekommen, oder die Vögel werden Sie."
1892,when are we going to stop?,we'll stop at the next mcdonald's.,wann werden wir aufhören?,Wir hören an der nächsten mcdonald's.
1893,we'll stop at the next mcdonald's.,how far away is that?,Wir hören an der nächsten mcdonald's.,Wie weit ist das?
1894,how far away is that?,i think we'll be there in half an hour.,Wie weit ist das?,"ich denke, wir werden in einer halben Stunde dort sein."
1895,i think we'll be there in half an hour.,i hope so. i have to go to the bathroom.,"ich denke, wir werden in einer halben Stunde dort sein.",The room was very clean and the room was very clean.
1896,i hope so. i have to go to the bathroom.,"well, i can always pull over.",The room was very clean and the room was very clean.,ich kann mich immer ziehen.
1897,"well, i can always pull over.","no, thank you, i'll just wait.",ich kann mich immer ziehen.,"ne, vielen Dank, ich werde nur warten."
1898,"no, thank you, i'll just wait.",we can kill two birds with one stone.,"ne, vielen Dank, ich werde nur warten.",wir können zwei Vögel mit einem Stein töten.
1899,we can kill two birds with one stone.,what do you mean?,wir können zwei Vögel mit einem Stein töten.,Was meinen Sie?
1900,what do you mean?,"while you're using the bathroom, i'll order some food.",Was meinen Sie?,The hotel is very clean and the staff were very helpful.
1901,"while you're using the bathroom, i'll order some food.",don't order for me. i'm not hungry.,The hotel is very clean and the staff were very helpful.,"ich habe keinen guten Eindruck, ich habe keinen großen Hunger."
1902,don't order for me. i'm not hungry.,"i'm very hungry. i'll order for you, and then i'll eat yours.","ich habe keinen guten Eindruck, ich habe keinen großen Hunger.","Ich bin sehr hungrig, ich werde für Sie bestellen und dann essen Sie Ihre"
1903,this is such a long light.,look how many cars are waiting in line.,Das ist ein so langes Licht.,"Schauen Sie sich an, wie viele Autos warten in der Reihe."
1904,look how many cars are waiting in line.,they need a left-turn arrow.,"Schauen Sie sich an, wie viele Autos warten in der Reihe.",sie benötigen einen linken Pfeil.
1905,they need a left-turn arrow.,only two cars can make a left turn every three or four minutes.,sie benötigen einen linken Pfeil.,Nur zwei Autos können alle drei oder vier Minuten eine linke Runde machen.
1906,only two cars can make a left turn every three or four minutes.,we'll be here forever.,Nur zwei Autos können alle drei oder vier Minuten eine linke Runde machen.,Wir werden hier für immer sein.
1907,we'll be here forever.,get out of this lane.,Wir werden hier für immer sein.,"- es ist ziemlich störend, dass man es"
1908,get out of this lane.,but we need to turn left.,"- es ist ziemlich störend, dass man es",Allerdings müssen wir uns links wenden.
1909,but we need to turn left.,forget it. go straight.,Allerdings müssen wir uns links wenden.,"Dabei muß man es vergessen, es muß gerade gehen"
1910,forget it. go straight.,then what?,"Dabei muß man es vergessen, es muß gerade gehen",dann was?
1911,then what?,then we'll just make a u-turn.,dann was?,dann machen wir einfach eine U-Kehr.
1912,then we'll just make a u-turn.,and then we can turn right at the light.,dann machen wir einfach eine U-Kehr.,und dann können wir rechts an der Lichter drehen.
1913,and then we can turn right at the light.,good idea. it will be so much quicker.,und dann können wir rechts an der Lichter drehen.,"Sehr gute Idee, es wird so viel schneller sein."
1914,i need a cheap car.,how much money do you have?,The hotel is very clean and the staff are very helpful.,Wie viel Geld haben Sie?
1915,how much money do you have?,"$1,000.",Wie viel Geld haben Sie?,1.000 Dollar.
1916,"$1,000.","well, that should get you something.",1.000 Dollar.,"es ist gut, das sollte Sie etwas bringen."
1917,"well, that should get you something.",but i need something that's reliable.,"es ist gut, das sollte Sie etwas bringen.",ich wünsche mir eine gute Leistung.
1918,but i need something that's reliable.,you need a car with low mileage.,ich wünsche mir eine gute Leistung.,Sie benötigen ein Auto mit geringer Meilen.
1919,you need a car with low mileage.,a car that was owned by a little old lady.,Sie benötigen ein Auto mit geringer Meilen.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal"
1920,a car that was owned by a little old lady.,where have you looked?,"Sehr freundliches Personal, freundliches Personal, freundliches Personal",Wo haben Sie gesehen?
1921,where have you looked?,i haven't looked anywhere yet.,Wo haben Sie gesehen?,ich habe noch nicht gesehen.
1922,i haven't looked anywhere yet.,why not?,ich habe noch nicht gesehen.,Warum nicht?
1923,why not?,because i'll never find one for such a low price.,Warum nicht?,"Sehr freundliches Personal, freundliches Personal, hilfsbereite"
1924,because i'll never find one for such a low price.,you're right about that. keep saving your money.,"Sehr freundliches Personal, freundliches Personal, hilfsbereite","Sie haben Recht, sparen Sie immer Ihr Geld."
1925,"good afternoon, officer.","your driver's license and registration, please.","guter Nachmittag, Offizier.","Ihren Führerschein und Ihre Registrierung, bitte."
1926,"your driver's license and registration, please.",here you go.,"Ihren Führerschein und Ihre Registrierung, bitte.",Hier geht es.
1927,here you go.,do you know why i pulled you over?,Hier geht es.,"wüsstet du, warum ich dich überzogen habe?"
1928,do you know why i pulled you over?,i have no idea. all of a sudden i heard your siren.,"wüsstet du, warum ich dich überzogen habe?","Ich habe keine Ahnung, plötzlich habe ich Ihre Sirene gehört."
1929,i have no idea. all of a sudden i heard your siren.,you rolled through that stop sign back there.,"Ich habe keine Ahnung, plötzlich habe ich Ihre Sirene gehört.",Sie wandten durch dieses Stop-Schild zurück.
1930,you rolled through that stop sign back there.,but i stopped!,Sie wandten durch dieses Stop-Schild zurück.,ich habe nicht mehr schlafen lassen.
1931,but i stopped!,"no, you didn't. you slowed down, but you didn't come to a full stop.",ich habe nicht mehr schlafen lassen.,"Leider hat man sich nicht verlangsamt, aber man hat nicht an einen"
1932,"no, you didn't. you slowed down, but you didn't come to a full stop.","well, nobody else does, so why should i?","Leider hat man sich nicht verlangsamt, aber man hat nicht an einen",Warum sollte ich also nicht meinen?
1933,"well, nobody else does, so why should i?",that's not the attitude of a good driver.,Warum sollte ich also nicht meinen?,das ist nicht die Haltung eines guten Fahrers.
1934,that's not the attitude of a good driver.,but i am a good driver. i've never had a ticket in my life.,das ist nicht die Haltung eines guten Fahrers.,ich habe nie ein Ticket in meinem Leben.
1935,but i am a good driver. i've never had a ticket in my life.,"well, you've got one now. here. have a nice day.",ich habe nie ein Ticket in meinem Leben.,"ich hoffe, ich hoffe, ich hoffe,"
1936,$140. i can't believe it.,what are you talking about?,"Etwas spürbar, aber ich habe es nicht gesehen",wovon sprechen Sie?
1937,what are you talking about?,i got a ticket downtown for $140.,wovon sprechen Sie?,The hotel is very close to the city centre and the city centre.
1938,i got a ticket downtown for $140.,were you speeding?,The hotel is very close to the city centre and the city centre.,hatt ihr sich beschleunigt?
1939,were you speeding?,"no, i was crossing the street.",hatt ihr sich beschleunigt?,"Leider war es nicht so gut, dass man die Straße überquer"
1940,"no, i was crossing the street.",were you jaywalking?,"Leider war es nicht so gut, dass man die Straße überquer",hatt ihr jaywalking?
1941,were you jaywalking?,"no, i was in the crosswalk.",hatt ihr jaywalking?,Leider war ich nicht in der Nähe.
1942,"no, i was in the crosswalk.",so why did you get a ticket?,Leider war ich nicht in der Nähe.,Warum also haben Sie ein Ticket bekommen?
1943,so why did you get a ticket?,the officer said the red hand was blinking.,Warum also haben Sie ein Ticket bekommen?,"Der Offizier sagte, die rote Hand blitze."
1944,the officer said the red hand was blinking.,was it blinking when you entered the crosswalk?,"Der Offizier sagte, die rote Hand blitze.","war es blinkend, als Sie in den Kreuzweg eingestiegen sind?"
1945,was it blinking when you entered the crosswalk?,"no, the white walk sign was blinking.","war es blinkend, als Sie in den Kreuzweg eingestiegen sind?","ne, das weiße Spazierzeichen blinkte."
1946,"no, the white walk sign was blinking.",you should fight that ticket. i'll be your witness.,"ne, das weiße Spazierzeichen blinkte.","ich sage es, wenn ich es erhalte,"
1947,they were in a crosswalk near school at 3 a.m.,who?,") hat es sich ereignet, die ersten ersten ersten",Wer?
1948,who?,two students from usc.,Wer?,zwei Studenten aus usc.
1949,two students from usc.,what happened?,zwei Studenten aus usc.,Was ist passiert?
1950,what happened?,"a speeding car ran a red light, killing the girl.",Was ist passiert?,"ein drehendes Auto fuhr ein rotes Licht, das das Mädchen t"
1951,"a speeding car ran a red light, killing the girl.",what happened to the other student?,"ein drehendes Auto fuhr ein rotes Licht, das das Mädchen t",Was passierte mit dem anderen Studenten?
1952,what happened to the other student?,he landed on the hood of the car.,Was passierte mit dem anderen Studenten?,er landete auf der Kappe des Autos.
1953,he landed on the hood of the car.,did he get off the hood?,er landete auf der Kappe des Autos.,Hat er die Kapuze ausgelöst?
1954,did he get off the hood?,"no, the car stopped and the passenger pushed the injured student off the hood.",Hat er die Kapuze ausgelöst?,"Nein, das Auto hielt ein und der Passagier strebt"
1955,"no, the car stopped and the passenger pushed the injured student off the hood.",i'll bet the car continued on its way.,"Nein, das Auto hielt ein und der Passagier strebt","ich wette, dass das Auto weiter auf dem Weg war."
1956,i'll bet the car continued on its way.,of course it did. why stop after you've run over two people?,"ich wette, dass das Auto weiter auf dem Weg war.","Warum hört man auf, nachdem man zwei Leute gefahren ist?"
1957,of course it did. why stop after you've run over two people?,i hope they find them and put them in jail for life.,"Warum hört man auf, nachdem man zwei Leute gefahren ist?","Ich hoffe, sie finden sie und setzen sie ins Gefängnis"
1958,what happened to your car?,i got a dent in the parking lot.,Was ist mit Ihrem Auto passiert?,The hotel is very clean and the staff were very helpful.
1959,i got a dent in the parking lot.,how did you get it?,The hotel is very clean and the staff were very helpful.,Wie haben Sie es bekommen?
1960,how did you get it?,i don't know. maybe it was from a shopping cart.,Wie haben Sie es bekommen?,The hotel is very clean and the staff are very helpful.
1961,i don't know. maybe it was from a shopping cart.,those shopping carts are dangerous.,The hotel is very clean and the staff are very helpful.,Diese Warenkorbs sind gefährlich.
1962,those shopping carts are dangerous.,especially the metal ones.,Diese Warenkorbs sind gefährlich.,insbesondere die Metall.
1963,especially the metal ones.,i don't park at a store that uses metal shopping carts.,insbesondere die Metall.,i don't park in a store that uses metal shopping carts.
1964,i don't park at a store that uses metal shopping carts.,"that's a good idea, but there was a good sale at this store.",i don't park in a store that uses metal shopping carts.,"Das ist eine gute Idee, aber es gab einen guten Verkauf in diesem"
1965,"that's a good idea, but there was a good sale at this store.",did you save any money on the sale?,"Das ist eine gute Idee, aber es gab einen guten Verkauf in diesem",Haben Sie irgendeine Gelder für den Verkauf gespart?
1966,did you save any money on the sale?,"yes, i did. i saved about $50.",Haben Sie irgendeine Gelder für den Verkauf gespart?,"ich habe es geschafft, ich habe etwa 50 Dollar gespart."
1967,"yes, i did. i saved about $50.",that's great.,"ich habe es geschafft, ich habe etwa 50 Dollar gespart.",Das ist großartig.
1968,that's great.,"yes, except this dent will cost about $150.",Das ist großartig.,"ja, außer dieser Zahn wird ca. 150 $ kosten."
1969,"did you see ""titanic""?",yes. it is a great movie.,"hatt ihr ""Titanic"" gesehen?","ja, es ist ein großer Film."
1970,yes. it is a great movie.,i saw it twelve times.,"ja, es ist ein großer Film.",ich sah es zwölf Mal.
1971,i saw it twelve times.,i saw it eight times.,ich sah es zwölf Mal.,ich habe es achtmal gesehen.
1972,i saw it eight times.,i have the dvd.,ich habe es achtmal gesehen.,ich habe die dvd.
1973,i have the dvd.,so do i.,ich habe die dvd.,so tun i.
1974,so do i.,let's go to your home.,so tun i.,"- es ist es, dass wir zu Hause gehen."
1975,let's go to your home.,we can watch my dvd.,"- es ist es, dass wir zu Hause gehen.","ich habe es geschafft, ich habe es gesehen."
1976,we can watch my dvd.,and then we can go to my home.,"ich habe es geschafft, ich habe es gesehen.",und dann können wir zu meinem Zuhause gehen.
1977,and then we can go to my home.,and watch your dvd.,und dann können wir zu meinem Zuhause gehen.,und schauen Sie Ihre DVD.
1978,and watch your dvd.,i always cry at the end.,und schauen Sie Ihre DVD.,ich schreie immer am Ende.
1979,i always cry at the end.,me too. it's so sad.,ich schreie immer am Ende.,Ich bin auch traurig.
1980,let's play cards.,i don't know any card games.,spiele Karten.,ich weiß keine Kartenspiele.
1981,i don't know any card games.,i'll teach you one.,ich weiß keine Kartenspiele.,ich werde Ihnen eines lehren.
1982,i'll teach you one.,okay. what will you teach me?,ich werde Ihnen eines lehren.,"ich habe es nicht geschafft, ich habe es nicht geschafft"
1983,okay. what will you teach me?,it's called poker.,"ich habe es nicht geschafft, ich habe es nicht geschafft",Es wird Poker genannt.
1984,it's called poker.,is it easy to learn?,Es wird Poker genannt.,ist es einfach zu lernen?
1985,is it easy to learn?,"yes, it will only take about 30 minutes.",ist es einfach zu lernen?,"ja, es wird nur etwa 30 Minuten dauern."
1986,"yes, it will only take about 30 minutes.",okay. teach me how to play.,"ja, es wird nur etwa 30 Minuten dauern.","ich habe es nicht geschafft, ich habe es nicht geschafft"
1987,okay. teach me how to play.,we each get five cards.,"ich habe es nicht geschafft, ich habe es nicht geschafft",wir bekommen jeweils fünf Karten.
1988,we each get five cards.,"oh, look. i have four tens.",wir bekommen jeweils fünf Karten.,"oh, ich habe vier Zehn."
1989,"oh, look. i have four tens.","that's great, but you're not supposed to tell me.","oh, ich habe vier Zehn.","Das ist großartig, aber Sie sollen mir nicht sagen."
1990,"that's great, but you're not supposed to tell me.","oh. sorry. okay, i don't have four tens.","Das ist großartig, aber Sie sollen mir nicht sagen.","oh, es tut mir leid, ich habe nicht vier Zeh"
1991,i'm a good card player.,why is that?,i'm a good card player.,Warum?
1992,why is that?,because i watch the other players.,Warum?,ich schaue die anderen Spieler.
1993,because i watch the other players.,what do you mean?,ich schaue die anderen Spieler.,Was meinen Sie?
1994,what do you mean?,people will tell you if they have a good hand.,Was meinen Sie?,", ob sie eine gute Hand haben."
1995,people will tell you if they have a good hand.,how do they do that?,", ob sie eine gute Hand haben.",Wie unternehmen sie das?
1996,how do they do that?,"for example, a friend of mine licks his lips.",Wie unternehmen sie das?,Beispielsweise leckt ein Freund meine Lippen.
1997,"for example, a friend of mine licks his lips.","when he licks his lips, you know he has a good hand?",Beispielsweise leckt ein Freund meine Lippen.,"Wenn er seine Lippen leckt, wissen Sie, dass er eine gute Hand"
1998,"when he licks his lips, you know he has a good hand?","i know he has a good hand, so i don't bet.","Wenn er seine Lippen leckt, wissen Sie, dass er eine gute Hand","ich weiß, er hat eine gute Hand, also wette ich nicht"
1999,"i know he has a good hand, so i don't bet.",he never wins your money?,"ich weiß, er hat eine gute Hand, also wette ich nicht",er gewinnt nie Ihr Geld?
2000,he never wins your money?,"nope, and it drives him crazy.",er gewinnt nie Ihr Geld?,"nackt, und es treibt ihn verrückt."
2001,"nope, and it drives him crazy.",he knows you can't read his mind. maybe he thinks you're cheating.,"nackt, und es treibt ihn verrückt.","er weiß, dass man seinen Kopf nicht lesen kann, vielleicht denkt er"
2002,"turn the radio down, please.",but i'm listening to it.,drehen Sie bitte den Radio ab.,ich höre es aber auch zu.
2003,but i'm listening to it.,"well, listen to it more quietly.",ich höre es aber auch zu.,es hörte ruhiger.
2004,"well, listen to it more quietly.",i can't wait till i grow up.,es hörte ruhiger.,"ich kann nicht warten, bis ich aufwachsen kann."
2005,i can't wait till i grow up.,what will you do?,"ich kann nicht warten, bis ich aufwachsen kann.",Was werden Sie tun?
2006,what will you do?,i will play the radio as loud as i want.,Was werden Sie tun?,ich werde den Radio so laut wie ich will.
2007,i will play the radio as loud as i want.,that's okay with me.,ich werde den Radio so laut wie ich will.,Das ist okay mit mir.
2008,that's okay with me.,i will have a radio in every room of my house.,Das ist okay mit mir.,ich werde in jedem Zimmer meines Hauses einen Radio haben.
2009,i will have a radio in every room of my house.,remind me to never visit you.,ich werde in jedem Zimmer meines Hauses einen Radio haben.,"erinnere mich, Sie niemals zu besuchen."
2010,remind me to never visit you.,all the radios will be on extra loud.,"erinnere mich, Sie niemals zu besuchen.",Alle Radios werden extra laut sein.
2011,all the radios will be on extra loud.,your neighbors will hate you.,Alle Radios werden extra laut sein.,Ihre Nachbarn werden Sie hassen.
2012,your neighbors will hate you.,"if they don't like it, they can move.",Ihre Nachbarn werden Sie hassen.,"Wenn sie es nicht mag, können sie sich bewegen."
2013,i hope i win the lotto.,your chances are very small.,"ich hoffe, ich gewinne das Lotto.",Ihre Chancen sind sehr klein.
2014,your chances are very small.,but you can't win if you don't play.,Ihre Chancen sind sehr klein.,", aber Sie können nicht gewinnen, wenn Sie nicht spielen."
2015,but you can't win if you don't play.,ha! you can't win if you do play.,", aber Sie können nicht gewinnen, wenn Sie nicht spielen.",!
2016,ha! you can't win if you do play.,someone has to win.,!,jemand muss gewinnen.
2017,someone has to win.,that's what everyone says.,jemand muss gewinnen.,"Das ist das, was jeder sagt."
2018,that's what everyone says.,it might as well be me.,"Das ist das, was jeder sagt.",Vielleicht ist es auch mir.
2019,it might as well be me.,that's what everyone says.,Vielleicht ist es auch mir.,"Das ist das, was jeder sagt."
2020,that's what everyone says.,you're trying to tell me something.,"Das ist das, was jeder sagt.",Sie versuchen mir etwas zu sagen.
2021,you're trying to tell me something.,that didn't take long.,Sie versuchen mir etwas zu sagen.,Leider war es nicht lange.
2022,that didn't take long.,you think i should quit playing.,Leider war es nicht lange.,"Sie glauben, ich sollte aufhören, zu spielen."
2023,you think i should quit playing.,save your money for school.,"Sie glauben, ich sollte aufhören, zu spielen.",Sparen Sie Ihr Geld für die Schule.
2024,what's on tv?,nothing much.,Was ist auf dem Fernsehen?,nichts.
2025,nothing much.,what about the baseball game?,nichts.,Was ist mit dem Baseballspiel?
2026,what about the baseball game?,it got rained out.,Was ist mit dem Baseballspiel?,es wurde ausgelassen.
2027,it got rained out.,rained out?,es wurde ausgelassen.,hat sich ausgelassen?
2028,rained out?,"yes, rained out.",hat sich ausgelassen?,"ja, es hat sich geworfen."
2029,"yes, rained out.",how could that be?,"ja, es hat sich geworfen.",Wie könnte das sein?
2030,how could that be?,"well, you can't play baseball in a rainstorm.",Wie könnte das sein?,"es ist nicht möglich, in einem Regensturm Baseball zu spielen."
2031,"well, you can't play baseball in a rainstorm.",i thought they were playing under a dome.,"es ist nicht möglich, in einem Regensturm Baseball zu spielen.","ich dachte, sie spielen unter einer Kuppel."
2032,i thought they were playing under a dome.,the dome doesn't close.,"ich dachte, sie spielen unter einer Kuppel.",hat die Kuppel nicht geschlossen.
2033,the dome doesn't close.,why doesn't it close?,hat die Kuppel nicht geschlossen.,Warum schließt es nicht?
2034,why doesn't it close?,who knows? they said they'll fix it before next season.,Warum schließt es nicht?,"ich hoffe, dass ich es erlauben werde,"
2035,can i try your coffee?,sure. here you go.,Kann ich Ihren Kaffee probieren?,"ich hoffe, ich hoffe, ich hoffe,"
2036,sure. here you go.,"hmm, that's not bad.","ich hoffe, ich hoffe, ich hoffe,","hmm, das ist nicht schlecht."
2037,"hmm, that's not bad.",there's nothing in it.,"hmm, das ist nicht schlecht.",es gibt nichts in ihm.
2038,there's nothing in it.,what do you mean?,es gibt nichts in ihm.,Was meinen Sie?
2039,what do you mean?,"i mean, it's just coffee.",Was meinen Sie?,"i mean, es ist nur Kaffee."
2040,"i mean, it's just coffee.",i figured that.,"i mean, es ist nur Kaffee.",ich habe das gesehen.
2041,i figured that.,it's not too bitter for you?,ich habe das gesehen.,es ist nicht zu bitter für Sie?
2042,it's not too bitter for you?,"it's a little bitter, but it's okay.",es ist nicht zu bitter für Sie?,"es ist ein wenig bitter, aber es ist okay."
2043,"it's a little bitter, but it's okay.",there's no sugar or cream in it.,"es ist ein wenig bitter, aber es ist okay.",Es gibt keinen Zucker oder Creme in ihm.
2044,there's no sugar or cream in it.,"no, it's a taste you have to get used to.",Es gibt keinen Zucker oder Creme in ihm.,"Nein, es ist ein Geschmack, den man sich gewöhnen muss."
2045,"no, it's a taste you have to get used to.",sort of like beer.,"Nein, es ist ein Geschmack, den man sich gewöhnen muss.",Etwas wie Bier.
2046,let's take a walk.,what's the weather like?,- - - - - - - - -,Wie sieht das Wetter aus?
2047,what's the weather like?,let me step outside and see.,Wie sieht das Wetter aus?,Lassen Sie mich außerhalb treten und sehen.
2048,let me step outside and see.,"it's a little chilly, right?",Lassen Sie mich außerhalb treten und sehen.,"es ist ein wenig kalt, richtig?"
2049,"it's a little chilly, right?","yes, it is.","es ist ein wenig kalt, richtig?","ja, das ist es."
2050,"yes, it is.",i'll put on my cap.,"ja, das ist es.",ich werde auf meine Kappe setzen.
2051,i'll put on my cap.,"wear a jacket, too.",ich werde auf meine Kappe setzen.,tragen Sie auch eine Jacke.
2052,"wear a jacket, too.",i wonder if i should bring my gloves.,tragen Sie auch eine Jacke.,"ich frage mich, ob ich meine Handschuhe mitbringen sollte."
2053,i wonder if i should bring my gloves.,"maybe you should, just in case it gets colder.","ich frage mich, ob ich meine Handschuhe mitbringen sollte.","Vielleicht sollten Sie, nur wenn es kalter wird."
2054,"maybe you should, just in case it gets colder.",i'll put a glove in each pocket.,"Vielleicht sollten Sie, nur wenn es kalter wird.",ich werde einen Handschuh in jede Tasche legen.
2055,i'll put a glove in each pocket.,we'll get warmer as we walk.,ich werde einen Handschuh in jede Tasche legen.,Während der Wanderung werden wir wärmer werden.
2056,we'll get warmer as we walk.,"yes, but it gets colder as the sun goes down.",Während der Wanderung werden wir wärmer werden.,"ja, aber es wird kalter, wenn die Sonne schwindet"
2057,look at the car chase on tv!,that driver is crazy.,Schauen Sie sich die Autojagd auf dem Fernsehen an!,dieser Fahrer ist verrückt.
2058,that driver is crazy.,i can't believe he hasn't crashed.,dieser Fahrer ist verrückt.,"ich kann nicht glauben, dass er nicht gestürzt hat."
2059,i can't believe he hasn't crashed.,how fast is he going?,"ich kann nicht glauben, dass er nicht gestürzt hat.",Wie schnell geht er?
2060,how fast is he going?,they say he's going 80 miles per hour.,Wie schnell geht er?,er fährt 80 Meilen pro Stunde.
2061,they say he's going 80 miles per hour.,he's going to kill someone.,er fährt 80 Meilen pro Stunde.,er wird jemanden töten.
2062,he's going to kill someone.,look! he just hit that car.,er wird jemanden töten.,"ich sah, er hat gerade diesen Wagen getroffen."
2063,look! he just hit that car.,"oh, my goodness. no one is safe on the streets.","ich sah, er hat gerade diesen Wagen getroffen.","oh, meine Güte, niemand ist auf den Straßen sicher."
2064,"oh, my goodness. no one is safe on the streets.",now he's slowing down.,"oh, meine Güte, niemand ist auf den Straßen sicher.",Heute verlangsamt er sich.
2065,now he's slowing down.,maybe he ran out of gas.,Heute verlangsamt er sich.,Vielleicht hat er Gas aus dem Wasser gelassen.
2066,maybe he ran out of gas.,look! he just got out of the car and started running.,Vielleicht hat er Gas aus dem Wasser gelassen.,"ich hoffe, er hat es geschafft, es"
